Customer ID,Age,Age_BIN,Months as a Customer,Number of Products,RFM Score,Average Balance Feed Index,Number of Transactions,Personal Debt to Equity Ratio,Months Current Account,Number of Loan Accounts,Has Bad Payment Record,Members Within Household,Number of Call Center Contacts,Gender,Marital Status,Age Youngest Child,Number of Workers in Household,Percentage White Collar Workers,Household Debt to Equity Ratio,Income,Weeks Since Last Offer,Homeowner,Annual value,Accepted Home Equity Loan,Accepted Credit Card
11831,58,56-60,24,0,0,0,1,58,5,2,0,7,6,F,M,28,9,41,48,21304,43,T,200,F,F
1012,56,56-60,36,0,0,0,3,41,31,0,0,2,11,F,U,14,8,33,57,78620,43,T,0,F,F
5606,36,36-40,36,0,0,0,1,36,8,1,0,2,9,F,U,8,13,36,49,37152,43,F,100,T,F
5656,59,56-60,36,4,8.60899,109,1,44,32,0,0,1,11,F,M,13,8,32,58,42888,22,F,120,F,F
12080,31,31-35,0,0,0,0,3,31,5,0,0,1,8,M,S,2,14,38,47,39436,2,F,0,F,F
12333,62,61-65,0,2,0,0,2,49,1,2,0,6,9,M,M,20,7,43,49,52447,17,F,260,F,F
12366,33,31-35,48,0,0,0,1,18,11,0,0,3,8,M,S,0,4,30,64,38119,32,F,0,F,F
1416,28,26-30,0,0,0,0,1,33,4,2,0,6,11,M,U,5,13,37,48,37418,50,T,200,F,F
12450,65,61-65,36,2,8.348,148,1,48,27,0,0,5,9,M,U,19,12,27,59,72487,18,T,60,F,F
25758,57,56-60,48,2,0,13,1,64,37,0,0,4,11,M,U,35,9,31,58,39429,15,F,60,F,T
1707,30,26-30,48,0,0,0,2,25,12,4,0,3,10,F,S,0,16,32,50,39521,15,F,400,F,F
6258,31,31-35,0,0,0,0,3,40,1,4,0,1,0,F,S,9,22,38,38,37586,19,F,400,F,F
6275,40,36-40,48,0,0,0,0,40,11,0,0,3,7,F,S,10,11,43,45,36925,29,F,0,T,F
6390,52,51-55,36,0,0,0,2,52,19,1,0,4,9,M,M,21,14,27,58,32818,13,F,100,F,F
6407,37,36-40,48,0,0,0,2,13,18,2,0,1,11,F,S,0,16,24,59,37438,36,T,200,T,F
1975,29,26-30,0,0,0,0,2,39,6,1,0,3,10,F,M,13,7,39,52,38340,36,F,100,F,F
449,31,31-35,36,0,0,0,2,29,33,1,0,3,8,F,S,0,10,36,52,39396,47,F,100,F,F
6592,59,56-60,36,0,0,0,1,59,30,0,0,7,9,F,S,32,11,42,45,21082,44,F,0,F,F
6706,29,26-30,48,0,0,0,2,40,40,0,0,3,0,F,S,13,11,27,61,37762,44,T,0,F,F
515,57,56-60,48,2,7.582333,349,2,57,21,0,0,4,5,F,U,31,8,32,59,25128,52,F,60,F,F
6757,26,26-30,36,0,0,0,1,28,26,1,0,1,8,M,S,0,13,47,38,39755,3,F,100,F,F
7110,54,51-55,36,4,10.928667,362,2,54,33,0,0,6,8,M,S,26,8,31,59,34001,22,T,120,F,F
7176,45,41-45,48,4,9.049,249,3,43,10,0,0,4,11,M,M,13,10,27,61,72055,27,F,120,F,F
31204,55,51-55,0,0,0,0,0,64,2,0,0,3,10,M,M,36,14,23,61,42939,27,F,0,F,T
15255,56,56-60,0,0,0,0,0,63,6,1,0,5,11,M,U,34,11,29,59,44333,47,F,100,F,T
11635,33,31-35,36,3,7.624,124,1,36,19,4,0,1,9,M,M,4,15,34,49,36772,48,T,490,F,F
11749,28,26-30,0,0,0,0,0,35,6,0,0,1,11,M,S,5,7,39,52,38786,3,F,0,F,F
11753,55,51-55,36,0,0,0,3,50,23,0,0,5,9,M,U,19,12,27,59,40300,18,F,0,F,F
7294,54,51-55,0,0,0,0,1,54,6,0,0,6,7,F,S,28,16,43,40,33916,47,F,0,F,F
10684,52,51-55,12,0,0,0,0,52,11,3,0,4,9,M,U,21,9,28,61,33499,27,T,300,F,F
1586,30,26-30,36,7,14.872637,506,1,27,32,0,0,2,11,M,S,0,15,31,52,11663,5,F,210,F,F
1620,62,61-65,36,0,0,0,2,49,15,1,0,6,10,M,U,18,9,25,65,47206,9,F,100,F,F
10719,39,36-40,36,1,9.579,179,2,39,17,0,0,5,8,M,S,10,14,34,51,36559,28,F,30,T,F
10853,60,56-60,48,6,10.214657,248,0,60,13,2,0,5,10,F,M,29,14,25,59,25570,13,T,380,F,F
1669,29,26-30,0,1,0,0,1,24,4,0,0,6,10,F,S,0,7,33,58,39255,17,F,30,F,F
20015,60,56-60,12,0,0,0,0,62,5,0,0,7,9,F,U,33,11,14,73,52907,6,T,0,F,T
12192,28,26-30,48,0,0,0,1,32,38,1,0,1,9,F,S,1,16,39,43,39367,8,F,100,F,F
10918,27,26-30,48,0,0,0,1,34,38,1,0,1,10,F,S,5,9,42,47,37922,52,F,100,F,F
10955,33,31-35,48,0,0,0,0,38,36,0,0,2,8,M,M,6,9,28,61,36947,24,F,0,F,F
11002,30,26-30,36,0,0,0,0,24,33,0,0,5,0,M,S,0,4,30,64,36405,5,F,0,F,F
1968,35,31-35,36,0,0,0,3,35,33,0,0,1,10,M,M,3,14,32,53,38970,34,F,0,T,F
12237,56,56-60,48,4,10.49697,97,3,48,35,0,0,7,5,F,U,20,11,37,50,61276,51,F,120,F,F
12401,26,26-30,48,0,0,0,1,35,13,0,0,1,8,F,M,4,9,39,50,38849,30,T,0,F,F
11254,50,46-50,48,0,0,0,0,44,40,0,0,2,7,M,U,17,6,30,62,63441,17,F,0,F,F
16174,45,41-45,36,0,0,0,0,49,20,0,0,1,11,F,M,18,11,24,63,63162,19,T,0,T,F
12603,31,31-35,0,0,0,0,3,19,1,2,0,6,11,M,S,0,14,29,55,36531,49,T,200,F,F
7364,51,51-55,48,0,0,0,3,51,17,0,0,7,8,M,M,24,11,36,52,32078,15,F,0,F,F
7371,26,26-30,48,0,0,0,3,35,13,1,0,1,10,F,S,5,9,42,47,37479,12,F,100,F,F
11353,33,31-35,48,0,0,0,2,18,37,0,0,2,10,M,S,0,4,30,64,39928,9,F,0,F,F
11473,55,51-55,48,0,0,0,1,23,15,1,0,1,10,F,S,0,10,29,59,53906,33,F,100,F,F
16542,56,56-60,36,0,0,0,1,49,29,0,0,1,11,F,U,17,14,25,59,66367,45,F,0,F,F
16595,55,51-55,36,0,0,0,3,55,29,1,0,3,9,M,M,25,8,35,56,34703,23,F,100,F,F
38751,68,66-70,48,4,0,238,2,62,39,0,0,7,9,F,S,35,10,19,70,34060,10,F,120,F,T
11740,62,61-65,12,2,10.995657,0,0,61,0,1,0,6,8,M,M,28,12,45,42,33598,2,F,160,F,T
16760,41,41-45,48,0,0,0,1,41,36,0,0,3,9,F,U,16,8,38,52,80113,41,F,0,T,F
70233,60,56-60,24,4,12.799,106,3,61,13,2,0,7,6,F,M,29,14,25,59,59812,43,F,320,F,T
11954,54,51-55,36,2,0,0,1,54,0,3,0,2,9,F,S,22,11,29,58,33864,33,F,360,F,F
7957,52,51-55,0,0,0,0,1,52,4,7,0,2,9,F,M,20,8,41,49,30020,23,F,700,F,F
16912,65,61-65,36,0,0,0,2,65,28,7,0,7,9,F,U,38,13,30,56,33376,43,F,700,F,F
16929,30,26-30,48,0,0,0,3,31,40,0,0,4,10,M,U,1,13,32,54,37486,25,F,0,F,F
4896,55,51-55,0,0,0,0,0,60,2,2,0,3,10,M,M,31,13,25,60,58481,42,F,200,F,T
17060,75,71-75,36,0,0,0,0,75,26,0,0,7,11,F,M,47,9,46,43,25982,41,F,0,F,F
12057,31,31-35,48,0,0,0,0,32,5,0,0,3,11,M,U,1,13,32,54,38866,36,F,0,F,F
8089,27,26-30,48,2,9.25449,355,3,32,6,4,0,6,0,F,M,3,10,41,47,39593,44,F,460,F,F
43827,57,56-60,12,2,0,67,2,60,9,0,0,2,8,F,U,30,12,36,51,42810,18,T,60,F,T
17193,55,51-55,24,14,9.978,378,3,43,7,1,0,3,9,F,S,15,9,41,49,76769,31,T,520,F,F
8359,56,56-60,48,3,10.842323,109,0,41,10,4,0,5,0,M,S,13,7,39,52,55885,36,T,490,F,F
12241,30,26-30,36,2,9.009667,443,1,32,15,3,0,6,5,F,M,2,11,29,58,38930,7,F,360,F,F
12389,47,46-50,36,4,7.525667,59,2,20,30,0,0,3,8,F,S,0,7,43,49,49881,39,F,120,F,F
17529,27,26-30,48,0,0,0,2,34,35,3,0,3,9,F,M,5,10,25,64,38033,25,F,300,F,F
8716,64,61-65,36,0,0,0,0,64,23,0,0,6,7,F,U,33,11,14,73,34589,51,F,0,F,F
12574,61,61-65,36,2,9.91999,120,1,49,35,0,0,1,9,F,S,18,16,28,54,41130,50,F,60,F,F
17713,50,46-50,36,1,9.804,104,3,23,23,3,0,3,7,M,S,0,15,65,19,54215,6,F,330,F,F
17798,31,31-35,36,4,8.79099,91,1,16,24,0,0,6,10,F,S,0,7,27,64,25231,7,F,120,F,F
54671,59,56-60,24,0,0,0,16,60,14,3,0,2,9,M,U,30,10,41,48,46625,52,T,300,F,T
8825,69,66-70,36,6,12.103637,137,2,69,14,7,0,3,11,M,M,40,12,32,55,34123,6,T,880,F,F
8918,31,31-35,36,2,7.337323,4,2,35,32,0,0,4,11,M,U,3,9,43,46,39855,1,T,60,F,F
8961,44,41-45,36,0,0,0,1,41,33,0,0,1,6,M,U,12,13,45,41,45653,20,F,0,F,F
55938,55,51-55,36,0,0,0,0,59,28,5,0,5,8,F,U,27,12,18,69,67017,23,F,500,F,T
7459,52,51-55,36,2,9.869,69,1,43,25,1,0,5,11,F,M,15,9,42,47,65380,52,F,160,F,F
7542,29,26-30,36,0,0,0,1,36,31,0,0,1,10,F,M,9,15,27,56,39672,9,F,0,F,F
8977,31,31-35,48,3,11.16899,69,1,35,35,0,0,5,0,M,S,8,9,22,67,37894,43,F,90,F,F
9184,33,31-35,36,0,0,0,1,39,6,0,0,1,10,F,S,12,7,28,63,38680,26,F,0,F,F
9193,28,26-30,48,0,0,0,3,82,41,0,0,4,7,F,U,53,10,49,39,68915,45,T,0,F,F
7629,29,26-30,48,0,0,0,1,11,14,0,0,2,9,F,S,0,7,33,58,38336,27,F,0,F,F
7695,40,36-40,0,1,0,0,1,50,4,0,0,5,9,M,U,17,6,30,62,66329,33,F,30,T,F
9361,62,61-65,36,3,13.42199,122,2,43,5,2,0,6,7,M,U,17,10,39,50,82004,51,F,290,F,F
9393,51,51-55,36,0,0,0,0,51,5,1,0,1,0,F,M,18,14,44,40,30153,10,F,100,F,F
13085,56,56-60,36,2,12.64199,42,3,49,10,3,0,6,8,F,M,18,10,33,55,56579,13,T,360,F,F
7929,58,56-60,36,5,8.48498,185,3,46,14,3,0,5,0,F,M,15,7,40,52,71467,24,F,450,F,F
2234,32,31-35,48,0,0,0,3,40,38,0,0,4,11,F,S,13,11,27,61,37240,24,F,0,F,F
8144,29,26-30,36,4,10.304667,338,0,29,9,0,0,2,9,M,S,0,4,30,64,38882,15,F,120,F,F
2302,33,31-35,0,0,0,0,0,38,5,2,0,5,10,M,M,9,7,23,68,39352,4,F,200,F,F
2382,29,26-30,0,0,0,0,2,38,7,4,0,5,0,F,M,9,14,26,59,39684,9,T,400,F,F
13585,41,41-45,36,2,11.869,169,0,50,31,2,0,2,0,M,M,18,17,44,37,47192,40,F,260,T,F
8361,26,26-30,36,0,0,0,0,23,25,1,0,2,11,F,S,0,10,36,52,36554,43,F,100,F,F
8364,62,61-65,12,4,10.44197,142,0,29,22,0,0,6,1,F,S,0,7,27,64,79103,40,F,120,F,F
8445,51,51-55,36,0,0,0,3,51,6,2,0,2,8,F,U,19,7,38,54,31090,39,T,200,F,F
2850,45,41-45,36,0,0,0,0,48,33,1,0,4,7,M,U,18,9,25,65,79665,27,F,100,T,F
13935,56,56-60,36,0,0,0,2,42,20,1,0,1,10,M,S,12,10,36,53,44774,3,F,100,F,F
8781,56,56-60,36,2,11.399,599,3,56,17,1,0,3,0,M,U,25,22,49,27,20465,38,F,160,F,F
8913,54,51-55,0,0,0,0,2,44,3,0,0,4,10,M,S,16,9,29,60,82013,9,F,0,F,F
3070,59,56-60,48,3,11.641323,208,1,23,37,2,0,2,9,M,S,0,14,53,31,73485,38,T,290,F,F
14220,54,51-55,48,0,0,0,3,47,21,1,0,5,10,F,M,17,16,46,36,78686,46,F,100,F,F
3395,64,61-65,36,5,13.701323,368,0,42,9,3,0,2,9,F,M,14,12,24,62,49248,7,T,450,F,F
9131,60,56-60,36,0,0,0,3,42,30,0,0,6,10,M,S,17,12,24,62,38295,41,F,0,F,F
14436,45,41-45,36,0,0,0,1,49,34,1,0,7,9,F,M,21,8,41,50,76856,10,F,100,T,F
14539,33,31-35,36,0,0,0,2,39,26,1,0,2,0,F,M,8,9,20,69,39660,40,F,100,F,F
539,29,26-30,12,0,7.405667,0,19,58,5,0,0,7,8,M,S,31,11,26,61,42991,43,F,0,F,T
3636,51,51-55,36,0,0,0,0,51,26,0,0,2,6,F,S,18,16,28,54,30491,6,F,0,F,F
14654,54,51-55,0,0,0,0,3,49,5,1,0,2,10,F,M,18,14,44,40,62962,17,F,100,F,F
9213,62,61-65,48,0,0,0,2,49,6,2,0,3,8,F,M,20,7,29,63,47448,41,T,200,F,F
9263,32,31-35,36,0,0,0,3,36,28,0,0,5,9,M,S,7,13,18,67,37711,48,F,0,F,F
7684,31,31-35,36,0,0,0,3,30,31,3,0,2,11,F,M,3,7,33,59,39513,30,F,300,F,F
7820,28,26-30,0,1,0,0,3,38,1,2,0,2,0,F,U,14,9,42,47,38812,17,F,230,F,F
2296,27,26-30,36,2,7.765667,399,0,33,17,2,0,3,0,M,M,7,8,35,55,36986,2,F,260,F,F
2297,31,31-35,36,0,0,0,3,31,27,1,0,6,10,M,S,0,14,32,53,38873,40,T,100,F,F
2344,29,26-30,48,0,0,0,0,40,23,0,0,4,8,M,U,14,11,43,45,37026,7,T,0,F,F
2495,27,26-30,36,0,0,0,3,23,34,2,0,1,11,M,S,0,6,21,71,37142,50,F,200,F,F
2529,59,56-60,36,0,0,0,2,50,8,4,0,6,9,F,S,20,17,15,67,45600,32,F,400,F,F
9747,32,31-35,36,0,0,0,1,40,35,1,0,6,0,M,M,13,9,38,51,38387,34,F,100,F,F
9804,53,51-55,36,0,0,0,1,53,12,1,0,4,8,M,M,26,12,18,69,32174,44,F,100,F,F
2664,59,56-60,24,2,8.695667,129,0,47,15,5,0,6,7,F,S,15,12,51,36,50958,31,T,560,F,F
2749,36,36-40,48,0,0,0,3,36,37,1,0,3,9,M,M,7,6,31,61,39283,16,T,100,T,F
8523,51,51-55,36,2,10.609,109,2,51,23,2,0,7,9,M,U,26,12,44,43,30512,36,F,260,F,F
8603,29,26-30,0,1,0,0,0,34,3,3,0,4,0,M,M,2,9,21,68,36433,18,F,330,F,F
10304,30,26-30,48,2,8.549,49,3,30,14,0,0,3,7,M,S,0,4,30,64,37468,40,T,60,F,F
2982,64,61-65,36,0,0,0,1,64,6,0,0,3,9,F,M,35,9,39,51,31231,45,T,0,F,F
3014,62,61-65,36,0,0,0,3,62,13,1,0,3,11,F,M,35,11,29,58,30430,10,F,100,F,F
3046,28,26-30,48,0,0,0,3,38,5,0,0,4,8,F,U,7,10,32,57,36638,36,F,0,F,F
3133,41,41-45,36,0,0,0,0,21,33,0,0,2,10,M,S,0,15,31,52,17784,20,F,0,T,F
3330,58,56-60,48,3,12.952333,219,3,58,20,3,0,6,9,M,U,28,9,31,59,25077,30,F,390,F,F
8972,54,51-55,36,3,9.007323,174,2,54,26,2,0,6,0,M,M,27,13,44,42,32724,48,F,290,F,F
21318,45,41-45,36,0,0,0,1,45,25,2,0,3,0,F,M,16,12,43,43,72530,39,T,200,T,F
66898,46,46-50,12,0,11.203313,0,29,58,6,1,0,3,10,M,S,26,12,33,53,45906,44,F,100,F,T
9124,34,31-35,36,0,0,0,3,34,23,0,0,3,4,F,M,5,6,38,54,38752,10,T,0,T,F
3599,50,46-50,0,0,0,0,1,41,3,0,0,4,7,F,U,11,13,33,52,63609,14,F,0,F,F
3667,45,41-45,48,3,7.34999,150,0,45,37,0,0,2,11,F,S,19,16,16,67,56069,1,T,90,T,F
3766,47,46-50,48,1,11.355667,89,0,45,16,1,0,3,7,F,S,9,8,34,57,57689,12,F,130,F,F
3784,32,31-35,48,4,9.150617,284,1,37,5,0,0,3,8,F,U,6,14,44,40,37630,29,F,120,F,F
9341,59,56-60,24,0,0,0,3,59,0,0,0,2,7,M,U,28,14,36,49,24340,11,F,0,F,F
2136,61,61-65,36,1,10.849,349,1,47,24,1,0,5,8,M,S,16,14,35,50,76585,20,F,130,F,F
21836,32,31-35,48,0,0,0,1,36,10,0,0,5,0,M,S,7,13,18,67,39397,31,F,0,F,F
3818,32,31-35,36,4,10.784333,551,1,27,7,0,0,5,7,F,S,0,7,33,58,38011,47,F,120,F,F
3849,47,46-50,0,0,0,0,1,51,6,2,0,7,10,F,S,23,7,18,73,32145,19,T,200,T,F
2369,56,56-60,36,3,11.326333,193,2,56,13,3,0,3,9,F,U,25,9,19,70,22177,10,F,390,F,F
4050,30,26-30,36,0,0,0,3,40,23,1,0,6,11,F,M,9,15,22,62,37422,17,T,100,F,F
2489,30,26-30,48,0,0,0,3,35,12,4,0,6,11,F,M,5,5,28,66,37160,29,F,400,F,F
16088,57,56-60,0,1,0,0,2,42,2,3,0,3,0,M,U,14,11,30,57,54875,12,F,330,F,F
16136,53,51-55,48,0,0,0,0,17,37,1,0,4,0,M,S,0,16,26,56,78988,27,F,100,F,F
61316,52,51-55,12,0,0,0,0,57,5,0,0,2,8,F,U,29,10,25,63,42949,43,F,0,F,T
2656,29,26-30,36,2,8.199,199,1,37,32,0,0,6,9,F,S,7,4,36,58,37325,17,T,60,F,F
63697,30,26-30,12,0,0,0,24,57,6,0,0,5,8,F,S,31,14,23,62,61260,20,T,0,F,T
16381,48,46-50,36,0,0,0,0,41,17,1,0,2,0,F,U,18,6,27,66,76971,16,F,100,F,F
16488,59,56-60,48,0,0,0,1,49,18,0,0,6,11,M,U,18,3,24,71,55932,24,F,0,F,F
9699,29,26-30,36,0,0,0,0,38,30,0,0,5,9,M,U,15,7,30,62,37063,42,F,0,F,F
54545,55,51-55,48,0,0,0,0,57,36,1,0,2,11,M,S,30,8,47,43,27330,8,F,100,F,T
3223,33,31-35,36,4,12.76398,64,3,14,24,0,0,4,11,M,S,0,15,31,52,38209,19,T,120,F,F
3524,60,56-60,24,0,0,0,0,42,15,7,0,1,10,M,U,12,8,28,62,52154,43,T,700,F,F
17006,57,56-60,0,8,0,0,2,49,4,4,0,3,8,F,M,21,16,37,45,63884,48,T,640,F,F
17040,57,56-60,36,0,0,0,0,46,27,0,0,2,11,F,U,15,7,50,42,58046,2,F,0,F,F
5030,57,56-60,0,0,10.841333,0,0,56,6,0,0,4,11,M,S,27,6,40,52,38212,9,F,0,F,T
17101,33,31-35,36,0,0,0,1,28,31,0,0,5,9,M,S,0,15,31,52,37157,44,F,0,F,F
4816,59,56-60,24,0,0,0,0,56,20,0,0,4,0,M,S,26,8,31,59,33597,18,F,0,F,T
10369,64,61-65,48,0,0,0,1,48,37,3,0,7,10,F,S,19,17,38,43,57051,17,F,300,F,F
10453,26,26-30,48,0,0,0,2,31,15,1,0,2,8,M,S,0,14,32,53,36986,21,F,100,F,F
3876,54,51-55,36,4,11.465667,299,2,18,25,1,0,1,10,F,S,0,14,39,45,58174,19,T,220,F,F
17360,50,46-50,36,0,0,0,0,42,23,1,0,6,11,M,U,14,15,33,51,62982,14,T,100,F,F
21265,51,51-55,48,0,0,0,1,45,5,1,0,3,10,M,M,15,15,39,44,58269,4,T,100,F,F
21280,27,26-30,36,0,0,0,0,33,16,2,0,5,0,M,M,2,8,34,56,39052,36,F,200,F,F
21350,26,26-30,0,0,0,0,3,27,4,0,0,5,9,F,S,0,7,33,58,38374,11,F,0,F,F
17594,27,26-30,48,0,0,0,0,20,37,0,0,5,0,F,S,0,7,33,58,39018,10,F,0,F,F
17649,39,36-40,36,0,0,0,3,26,9,0,0,1,10,F,S,0,7,33,58,39656,31,F,0,T,F
21464,71,71-75,0,0,0,0,1,71,5,1,0,6,10,M,U,41,10,21,67,25340,17,T,100,F,F
84964,55,51-55,12,1,10.16799,100,1,56,6,0,0,7,11,M,S,26,8,31,59,33597,48,F,30,F,T
17826,47,46-50,36,2,9.91999,120,0,44,28,1,0,2,8,M,M,16,5,49,45,82978,36,F,160,F,F
78037,65,61-65,24,1,8.355667,140,25,56,22,0,0,2,9,M,M,28,7,36,55,44461,4,T,30,F,T
16827,28,26-30,36,1,0,299,29,55,27,1,0,7,9,M,U,29,11,22,65,48428,23,T,130,F,T
21848,56,56-60,48,3,11.697,297,0,56,13,3,0,2,11,M,M,24,10,40,49,26010,49,F,390,F,F
21918,49,46-50,0,0,0,0,2,41,5,1,0,2,0,M,U,11,15,21,62,51929,34,F,100,F,F
16017,30,26-30,36,4,12.330567,164,2,34,34,0,0,2,10,F,U,4,9,33,57,37558,27,T,120,F,F
16115,30,26-30,36,0,0,0,2,40,34,2,0,6,11,M,U,9,13,38,48,39210,36,F,200,F,F
16754,27,26-30,36,2,9.94899,249,1,30,7,0,0,3,10,F,S,0,7,27,64,38669,32,T,60,F,F
17121,29,26-30,0,3,0,0,3,34,3,0,0,4,10,M,S,7,13,18,67,38058,24,F,90,F,F
17403,33,31-35,48,0,0,0,3,37,37,0,0,5,9,M,S,6,8,32,59,39107,47,T,0,F,F
17487,31,31-35,36,2,7.453323,20,2,32,35,0,0,3,11,F,M,4,9,39,50,39572,21,F,60,F,F
